--------- beginning of main
11-09 15:02:54.631 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1978, bufferIndex = 0.
11-09 15:02:54.632 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 14, generation 25881602.
11-09 15:02:54.632 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 7, generation 25881602.
11-09 15:02:54.633 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 6, generation 25881602.
11-09 15:02:54.633 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1979, bufferIndex = 0.
11-09 15:02:54.634 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 9, generation 25881602.
11-09 15:02:54.634 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1980, bufferIndex = 0.
11-09 15:02:54.634 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1981, bufferIndex = 0.
11-09 15:02:54.644 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1982, bufferIndex = 0.
11-09 15:02:54.645 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 10, generation 25881602.
11-09 15:02:54.646 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 5, generation 25881602.
11-09 15:02:54.646 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 11, generation 25881602.
11-09 15:02:54.647 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1983, bufferIndex = 0.
11-09 15:02:54.893 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 1, generation 25881602.
11-09 15:02:54.894 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1984, bufferIndex = 0.
11-09 15:02:54.894 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1985, bufferIndex = 0.
11-09 15:02:54.895 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1986, bufferIndex = 0.
11-09 15:02:54.895 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 17, generation 25881602.
